name,description
Whirlpool,"Power: 35.0
Acc.: 85
PP: 15.0
Damage Class: Special
Effect: Traps opponent, damaging them for 4-5 turns.
Prob. (%): 100.0
"
Whirlwind,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: In battles, the opponent switches. In the wild, the Pokémon runs.
Prob. (%): nan
"
Wicked Blow,"Power: 80.0
Acc.: 100
PP: 5.0
Damage Class: Physical
Effect: Always results in a critical hit and ignores stat changes.
Prob. (%): nan
"
Wide Guard,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Protects the user's team from multi-target attacks.
Prob. (%): nan
"
Wild Charge,"Power: 90.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: User receives recoil damage.
Prob. (%): nan
"
Will O Wisp,"Power: nan
Acc.: 85
PP: 15.0
Damage Class: Status
Effect: Burns opponent.
Prob. (%): nan
"
Wing Attack,"Power: 60.0
Acc.: 100
PP: 35.0
Damage Class: Physical
Effect: nan
Prob. (%): nan
"
Wish,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: The user recovers HP in the following turn.
Prob. (%): nan
"
Withdraw,"Power: nan
Acc.: nan
PP: 40.0
Damage Class: Status
Effect: Raises user's Defense.
Prob. (%): nan
"
Wonder Room,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Swaps every Pokémon's Defense and Special Defense for 5 turns.
Prob. (%): nan
"
Wood Hammer,"Power: 120.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: User receives recoil damage.
Prob. (%): nan
"
Work Up,"Power: nan
Acc.: nan
PP: 30.0
Damage Class: Status
Effect: Raises user's Attack and Special Attack.
Prob. (%): nan
"
Worry Seed,"Power: nan
Acc.: 100
PP: 10.0
Damage Class: Status
Effect: Changes the opponent's Ability to Insomnia.
Prob. (%): nan
"
Wrap,"Power: 15.0
Acc.: 90
PP: 20.0
Damage Class: Physical
Effect: Traps opponent, damaging them for 4-5 turns.
Prob. (%): 100.0
"
Wring Out,"Power: nan
Acc.: 100
PP: 5.0
Damage Class: Special
Effect: The higher the opponent's HP, the higher the damage.
Prob. (%): nan
"
X Scissor,"Power: 80.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: nan
Prob. (%): nan
"
Yawn,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Puts opponent to sleep in the next turn.
Prob. (%): nan
"
Zap Cannon,"Power: 120.0
Acc.: 50
PP: 5.0
Damage Class: Special
Effect: Paralyzes opponent.
Prob. (%): 100.0
"
Zen Headbutt,"Power: 80.0
Acc.: 90
PP: 15.0
Damage Class: Physical
Effect: May cause flinching.
Prob. (%): 20.0
"
Zing Zap,"Power: 80.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: May cause flinching.
Prob. (%): 30.0
"
Zippy Zap,"Power: 50.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: Always results in a critical hit.
Prob. (%): 100.0
"
G-Max Vine Lash,"Power: nan
Acc.: ∞
PP: 10.0
Damage Class: nan
Effect: Inflicts damage for four turns on non-Grass-type opponents
Prob. (%): nan
"
G-Max Wildfire,"Power: nan
Acc.: ∞
PP: 10.0
Damage Class: nan
Effect: Inflicts damage for four turns on non-Fire-type opponents
Prob. (%): 100.0
"
G-Max Cannonade,"Power: nan
Acc.: ∞
PP: 10.0
Damage Class: nan
Effect: Inflicts damage for four turns on non-Water-type opponents
Prob. (%): nan
"
G-Max Befuddle,"Power: nan
Acc.: ∞
PP: 5.0
Damage Class: nan
Effect: Inflicts poison, paralysis, or sleep on all opponents
Prob. (%): 100.0
"
G-Max Volt Crash,"Power: nan
Acc.: ∞
PP: 10.0
Damage Class: nan
Effect: Paralyzes all opponents
Prob. (%): 100.0
"
G-Max Gold Rush,"Power: nan
Acc.: ∞
PP: 5.0
Damage Class: nan
Effect: Scatters coins on the ground that are picked up afterwards and confuses all opponents Value is equal to 100 × the user's level (200 × user's level with an Amulet Coin)
Prob. (%): 100.0
"
G-Max Chi Strike,"Power: nan
Acc.: ∞
PP: 5.0
Damage Class: nan
Effect: Pumps up the user and its allies, raising the chance of critical hits by one stage. Stacks with itself and moves like Focus Energy, unlike other critical hit sources
Prob. (%): nan
"
G-Max Terror,"Power: nan
Acc.: ∞
PP: 10.0
Damage Class: nan
Effect: Prevents the opponent from escaping or being recalled Same effect as Mean Look
Prob. (%): nan
"
G-Max Foam Burst,"Power: nan
Acc.: ∞
PP: 5.0
Damage Class: nan
Effect: Lowers the Speed of all opponents by two stages
Prob. (%): 100.0
"
G-Max Resonance,"Power: nan
Acc.: ∞
PP: 5.0
Damage Class: nan
Effect: Lowers damage from both Physical and Special moves for five turns Same effect as Aurora Veil, though it does not require hail.
Prob. (%): nan
"
G-Max Cuddle,"Power: nan
Acc.: ∞
PP: 5.0
Damage Class: nan
Effect: Opponents of the opposite gender of the user become infatuated
Prob. (%): 100.0
"
G-Max Replenish,"Power: nan
Acc.: ∞
PP: 5.0
Damage Class: nan
Effect: 50% chance of restoring user or ally's used Berries Similar effect to Recycle when it works
Prob. (%): nan
"
G-Max Malodor,"Power: nan
Acc.: ∞
PP: 5.0
Damage Class: nan
Effect: Poisons all opponents
Prob. (%): 100.0
"
G-Max Meltdown,"Power: nan
Acc.: ∞
PP: 5.0
Damage Class: nan
Effect: Makes opponents incapable of using the same move twice in a row Same effect as Torment
Prob. (%): nan
"
G-Max Drum Solo,"Power: nan
Acc.: ∞
PP: 5.0
Damage Class: nan
Effect: Moves can be used regardless of abilities. Power is always 160, regardless of base move. Works like Mold Breaker
Prob. (%): nan
"
G-Max Fireball,"Power: nan
Acc.: ∞
PP: 5.0
Damage Class: nan
Effect: Moves can be used regardless of abilities. Power is always 160, regardless of base move. Works like Mold Breaker
Prob. (%): nan
"
G-Max Hydrosnipe,"Power: nan
Acc.: ∞
PP: 5.0
Damage Class: nan
Effect: Moves can be used regardless of abilities. Power is always 160, regardless of base move. Works like Mold Breaker
Prob. (%): nan
"
G-Max Wind Rage,"Power: nan
Acc.: ∞
PP: 10.0
Damage Class: nan
Effect: Removes the effects of moves like Reflect, Light Screen, Spikes, and terrain from the opponents' side of the field. Works like Defog, but does not lower evasiveness.
Prob. (%): nan
"
G-Max Gravitas,"Power: nan
Acc.: ∞
PP: 5.0
Damage Class: nan
Effect: Intensifies gravity for five turns Same effect as Gravity
Prob. (%): nan
"
G-Max Stonesurge,"Power: nan
Acc.: ∞
PP: 5.0
Damage Class: nan
Effect: Creates Stealth Rock on the opponents' side of the field
Prob. (%): nan
"
G-Max Volcalith,"Power: nan
Acc.: ∞
PP: 10.0
Damage Class: nan
Effect: Inflicts damage for four turns on non-Rock-type opponents
Prob. (%): 100.0
"
G-Max Tartness,"Power: nan
Acc.: ∞
PP: 10.0
Damage Class: nan
Effect: Lowers the evasiveness of all opponents by one stage
Prob. (%): 100.0
"
G-Max Sweetness,"Power: nan
Acc.: ∞
PP: 10.0
Damage Class: nan
Effect: Cures the user and its allies of their status conditions Only affects allies on the field
Prob. (%): nan
"
G-Max Sandblast,"Power: nan
Acc.: ∞
PP: 5.0
Damage Class: nan
Effect: Traps the target in Sand Tomb for four to five turns
Prob. (%): 100.0
"
G-Max Stun Shock,"Power: nan
Acc.: ∞
PP: 10.0
Damage Class: nan
Effect: Inflicts poison or paralysis on all opponents
Prob. (%): 100.0
"
G-Max Centiferno,"Power: nan
Acc.: ∞
PP: 5.0
Damage Class: nan
Effect: Traps the target in Fire Spin for four to five turns
Prob. (%): 100.0
"
G-Max Smite,"Power: nan
Acc.: ∞
PP: 5.0
Damage Class: nan
Effect: Inflicts confusion on all opponents
Prob. (%): 100.0
"
G-Max Snooze,"Power: nan
Acc.: ∞
PP: 5.0
Damage Class: nan
Effect: 50% chance of making the target drowsy, causing it to fall asleep at the end of the next turn Same effect as Yawn when it works.
Prob. (%): nan
"
G-Max Finale,"Power: nan
Acc.: ∞
PP: 5.0
Damage Class: nan
Effect: Heals the user and its allies by 1/6 their maximum HP
Prob. (%): nan
"
G-Max Steelsurge,"Power: nan
Acc.: ∞
PP: 5.0
Damage Class: nan
Effect: Scatters sharp spikes around the field Works like Stealth Rock, though it checks the effectiveness of Steel against the target instead of Rock
Prob. (%): nan
"
G-Max Depletion,"Power: nan
Acc.: ∞
PP: 5.0
Damage Class: nan
Effect: Takes away 2 PP from the last move the target used Less potent version of Spite's effect.
Prob. (%): nan
"
G-Max One Blow,"Power: nan
Acc.: ∞
PP: 5.0
Damage Class: nan
Effect: Hits the target even if it is protected by a protection move, including Max Guard Works like Feint
Prob. (%): nan
"
G-Max Rapid Flow,"Power: nan
Acc.: ∞
PP: 5.0
Damage Class: nan
Effect: Hits the target even if it is protected by a protection move, including Max Guard. Works like Feint
Prob. (%): nan
"
